Movie Roll Num	MOVIE_NAME_IMDB	TRIVIA	INTERESTED	VOTED	LIKENESS_RATIO	CLASS	FOG	GRADE	superPOS	Contradict	PERSON	ORGANIZATION	DATE	LOCATION	MONEY	TIME	ALL_LINKABLE_ENTITIES_PRESENT	ROOT_WORDS	SUBJECT_WORDS	UNDER_ROOT_WORDS
1	Guardians of the Galaxy (2014) 	"When Dave Bautista found out he got the role of Drax the Destroyer, he broke down in tears, overjoyed at getting a Marvel comic-book role. He immediately signed up for extra acting classes in order to prepare for the role.  "	2528	2550	0.991372549	1	16	4	0	0	2	0	0	0	0	0	entity_Cast entity_Character 	root_break root_sign 	subj_entity_Cast subj_he 	
1	Guardians of the Galaxy (2014) 	"According to Vin Diesel, the voice of Groot, he recorded Groot's iconic line, ""I am Groot,"" over 1,000 times.  "	1542	1565	0.985303514	1	7.6	3	0	0	2	0	0	0	0	0	entity_Cast entity_Character 	root_groot 	subj_he subj_i subj_voice 	underRoot_entity_Cast 
1	Guardians of the Galaxy (2014) 	"James Gunn stated that Chris Pratt's audition was so good, that he was prepared to offer him the role even if Pratt did not lose weight and get in shape in time. Gunn joked that he was willing to CGI a six pack on Pratt's body. However, Pratt asked him to give him 6 months to lose 50 pounds and he ended up losing 60 pounds.  "	1443	1467	0.983640082	1	26.4	3	0	1	8	0	0	0	4	0	entity_Cast entity_Directed_by entity_Writing_Credits 	root_state root_joke root_ask 	subj_entity_Cast subj_entity_Directed_by subj_entity_Writing_Credits subj_audition subj_he 	underRoot_entity_Cast underRoot_entity_Directed_by underRoot_entity_Writing_Credits 
1	Guardians of the Galaxy (2014) 	"According to Vin Diesel, his performance as Groot helped him through a dark time in his life; he was dealing with the loss of his best friend and ""Fast and Furious"" co-star Paul Walker: ""It was the first time I came back to dealing with human beings after dealing with death, so playing a character who celebrates life in the way Groot does was very nice.""  "	1264	1282	0.985959438	1	26.4	3	1	0	5	0	0	0	0	0	entity_Cast entity_Character 	root_help 	subj_performance subj_he subj_it subj_i subj_who subj_life 	underRoot_entity_Cast 
1	Guardians of the Galaxy (2014) 	"Zoe Saldana nearly broke Chris Pratt's ribs while filming a fight sequence. During training, Pratt and Saldana would wear protective gear so that they could actually hit each other. However, when the day came to film the actual scene, Pratt forgot to wear his protective gear and did not tell Saldana because he thought she would hold back if she knew. Saldana (under the impression that he was wearing the gear like he usually did) kicked him square in the ribs, which made Pratt fall to the ground. According to him, he had a bruise for the remainder of filming.  "	1183	1203	0.983374896	1	40	3	0	0	10	0	2	0	0	0	entity_Cast 	root_break root_wear root_forget root_kick root_have 	subj_entity_Cast subj_they subj_unlinked_DATE subj_he subj_she subj_which 	underRoot_entity_Cast 
1	Guardians of the Galaxy (2014) 	"Vin Diesel recorded all of his ""I am Groot"" lines in several different languages, including Russian, Mandarin, Spanish, Portuguese, German and French so that they could use his real voice in the film around the world.  "	1144	1156	0.989619377	1	14.4	3	0	0	2	0	0	0	0	0	entity_Cast 	root_record 	subj_entity_Cast subj_i subj_they 	underRoot_entity_Cast 
1	Guardians of the Galaxy (2014) 	"According to James Gunn, Star-Lord's obscene gesture was an improvisation by Chris Pratt.  "	1125	1145	0.982532751	1	5.2	3	0	0	5	0	0	0	0	0	entity_Cast entity_Directed_by entity_Writing_Credits 	root_improvisation 	subj_gesture 	underRoot_entity_Cast underRoot_entity_Directed_by underRoot_entity_Writing_Credits 
1	Guardians of the Galaxy (2014) 	"Djimon Hounsou took the role of Korath for the sake of his son: ""I have a son who loves superheroes from Spider-Man to Iron Man to Batman. One day he looks at me and says 'Dad, I want to be light-skinned so I could be Spider-Man. Spider-Man has light skin.' That was sort of a shock."" In recent years, in the Marvel Ultimates comic book universe, the Spider-Man mantle has been held by Miles Morales, a half-black, half-Hispanic teenager.  "	1091	1133	0.962930274	1	31.6	2	0	0	7	0	0	0	0	0	entity_Cast entity_Character 	root_entity_Cast root_look root_have root_sort root_hold 	subj_entity_Cast subj_i subj_who subj_he subj_dad subj_unlinked_PERSON subj_that subj_mantle 	underRoot_unlinked_DURATION underRoot_unlinked_PERSON 
1	Guardians of the Galaxy (2014) 	"Iron Man was planned to have a cameo role in this film (in homage to his being the Guardians' latest member in the comics around 2013), but this was scrapped when Robert Downey Jr. said he may not reprise his role as Tony Stark in the future. Downey has since signed a contract to reprise the role for two 'Avengers' sequels.  "	986	1012	0.9743083	1	24.4	2	1	1	6	0	3	0	0	0	entity_Cast entity_Character 	root_plan root_sign 	subj_entity_Character subj_homage subj_this subj_unlinked_PERSON subj_he 	underRoot_entity_Character underRoot_unlinked_PERSON 
1	Guardians of the Galaxy (2014) 	"According to the filmmakers, Rocket Raccoon in this film is a unique product of experimentation: ""He's a little animal that was taken and experimented on and pulled apart and put back together again and implanted with cybernetics and he's half-machine and half-raccoon. And he's a gnarled, miserable, angry creature because there's nothing else like him. And that's something not easy to be.""  "	904	939	0.962726305	1	24.8	2	0	0	0	0	0	0	0	0	entity_Character 	root_product root_creature root_something 	subj_raccoon subj_he subj_that subj_nothing 	
